"","Seascapes","lag","si","cmi","bcmi","z"
"88","1 & 9",10,0.998122595662327,0.148654863393497,0.0601917495593975,0.871241622211974
"89","1 & 10",0,0.998122595662327,0.268440446030877,0.205895225805766,2.32585275293524
"90","1 & 10",1,0.998122595662327,0.248523184523088,0.173042532559397,2.15097699625787
"91","1 & 10",2,0.998122595662327,0.184124433412209,0.086491743112636,1.35134279957726
"92","1 & 10",3,0.998122595662327,0.136406393034385,0.0454849829874336,0.815470928117591
"93","1 & 10",4,0.998122595662327,0.150188063188764,0.054977800126527,0.801891053780424
"94","1 & 10",5,0.998122595662327,0.10977818111167,0.0155143178254232,0.277208799127819
"95","1 & 10",6,0.998122595662327,0.0825282756100116,-0.027855273994517,-0.460948567044926
"96","1 & 10",7,0.998122595662327,0.195424120216409,0.111408452201571,1.28690861371481
"97","1 & 10",8,0.998122595662327,0.122182545827056,0.0171879724108493,0.240834610580933
"98","1 & 10",9,0.998122595662327,0.118012981394215,0.00420734220031235,0.066845160631899
"99","1 & 10",10,0.998122595662327,0.0960877836859919,0.00944712523420764,0.17192362295881
"100","2 & 3",0,1.15439969271355,0.272776512596889,0.164810131524581,1.97205630975273
"101","2 & 3",1,1.15439969271355,0.269286877460953,0.165469078693222,1.89367249196925
"102","2 & 3",2,1.15439969271355,0.324044492411201,0.222720477099228,2.12090160927924
"103","2 & 3",3,1.15439969271355,0.397562747601104,0.315235861170797,3.75226048799741
"104","2 & 3",4,1.15439969271355,0.413828362791286,0.332910014334942,3.25098246815193
"105","2 & 3",5,1.15439969271355,0.344150553697938,0.247788724697726,2.61405634612042
"106","2 & 3",6,1.15439969271355,0.256123773061927,0.165532978836756,1.71907739083632
"107","2 & 3",7,1.15439969271355,0.298325325152325,0.186953213638008,1.9992263452184
"108","2 & 3",8,1.15439969271355,0.24462599237071,0.13227968600712,1.39304403579236
"109","2 & 3",9,1.15439969271355,0.232886474475804,0.153324226350728,2.00702004644932
"110","2 & 3",10,1.15439969271355,0.152640241533726,0.0134934265742614,0.176439330940107
"111","2 & 4",0,1.15439969271355,0.412691688851505,0.298848908195469,2.56991233698453
"112","2 & 4",1,1.15439969271355,0.373796449038767,0.248492975276018,2.64486352560255
"113","2 & 4",2,1.15439969271355,0.324995726243305,0.212775084293206,2.85126693854064
"114","2 & 4",3,1.15439969271355,0.21167358130973,0.0685244730665195,0.966547405836456
"115","2 & 4",4,1.15439969271355,0.154332835334921,0.00953122492642791,0.157084198134016
"116","2 & 4",5,1.15439969271355,0.2203363724124,0.123904464502802,1.70496442157153
"117","2 & 4",6,1.15439969271355,0.227765845680565,0.0960573282530914,1.17621191825823
"118","2 & 4",7,1.15439969271355,0.244219497619013,0.11499237123463,1.34046986161735
"119","2 & 4",8,1.15439969271355,0.317676332961883,0.230451013859993,2.60915690116347
"120","2 & 4",9,1.15439969271355,0.326510504598585,0.249558248286576,2.46553786554221
"121","2 & 4",10,1.15439969271355,0.187192333334699,0.0860999005642155,1.09176348289847
"122","2 & 5",0,1.15439969271355,0.299720818064638,0.212996265464651,2.49722138720183
"123","2 & 5",1,1.15439969271355,0.268882360063359,0.167166236938238,1.59524009819213
"124","2 & 5",2,1.15439969271355,0.318192520088999,0.246355838979168,2.49941083128785
"125","2 & 5",3,1.15439969271355,0.19550189514427,0.124146763841159,1.6081691593625
"126","2 & 5",4,1.15439969271355,0.2720525722042,0.215463483146632,2.64389410971786
"127","2 & 5",5,1.15439969271355,0.158654062583134,0.102169023221565,1.66718188940138
"128","2 & 5",6,1.15439969271355,0.110351552903218,0.0337133938685653,0.521106305970069
"129","2 & 5",7,1.15439969271355,0.231248482549637,0.170983925621189,2.2373082948799
"130","2 & 5",8,1.15439969271355,0.226984722314836,0.167679308672184,2.25714006905295
"131","2 & 5",9,1.15439969271355,0.263741277708502,0.191408999610641,2.55191573072107
"132","2 & 5",10,1.15439969271355,0.207945468394792,0.119841288193857,1.26286814796998
"133","2 & 6",0,1.15439969271355,0.190231103552712,0.0991855499091614,1.49734375523711
"134","2 & 6",1,1.15439969271355,0.196512622638834,0.0752019562535178,1.12557023666323
"135","2 & 6",2,1.15439969271355,0.16153775599004,0.0369560615821821,0.540775508149555
"136","2 & 6",3,1.15439969271355,0.199242675544758,0.0704700064516387,1.07826179876941
"137","2 & 6",4,1.15439969271355,0.148229202178393,0.0327068650201939,0.456700295094911
"138","2 & 6",5,1.15439969271355,0.172752835815526,0.0951924463444449,1.16426514955639
"139","2 & 6",6,1.15439969271355,0.124575219903707,0.0117522854720674,0.106001631349324
"140","2 & 6",7,1.15439969271355,0.105415343476452,-0.0275024914634739,-0.401210751700324
"141","2 & 6",8,1.15439969271355,0.0941905121556532,-0.0162133403929291,-0.302387989069904
"142","2 & 6",9,1.15439969271355,0.200257422374983,0.11807332306224,1.68017810959652
"143","2 & 6",10,1.15439969271355,0.239173630160185,0.157172703443532,1.67159523185059
"144","2 & 7",0,1.15439969271355,0.252338557230567,0.152111780898056,1.85778035229914
"145","2 & 7",1,1.15439969271355,0.252864893489849,0.160959127386956,1.91619453441488
"146","2 & 7",2,1.15439969271355,0.272127806203099,0.181688567518154,2.03475496064149
