"","fit","se.fit","Year","Seascapenr","Ship","uprP","lwrP","uprS","lwrS","ci_width"
"79",-4.10801960229814,0.0279346282325713,2003.208,1,"WAH3",-4.052150345833,-4.16388885876329,-4.01499538565478,-4.20104381894151,0.186048433286732
"80",-4.10465272870466,0.0281279253896067,2003.544,1,"WAH3",-4.04839687792544,-4.16090857948387,-4.01098481934904,-4.19832063806027,0.187335818711224
"81",-4.10128588789856,0.0283391437573851,2003.88,1,"WAH3",-4.04460760038379,-4.15796417541333,-4.00691460697703,-4.19565716882009,0.188742561843059
"82",-4.09791908204478,0.028567888253871,2004.216,1,"WAH3",-4.04078330553704,-4.15505485855252,-4.00278606635378,-4.19305209773579,0.190266031382007
"83",-4.09455231338098,0.0288137443602774,2004.552,1,"WAH3",-4.03692482466042,-4.15217980210153,-3.99860058009277,-4.19050404666919,0.191903466576422
"84",-4.0911855841948,0.0290762812477401,2004.888,1,"WAH3",-4.03303302169932,-4.14933814669028,-3.99435958517114,-4.18801158321846,0.193651998047317
"85",-4.08781889676586,0.0293550546179091,2005.224,1,"WAH3",-4.02910878753004,-4.14652900600168,-3.99006456341231,-4.18557323011941,0.195508666707097
"86",-4.08445225326884,0.0296496104584215,2005.56,1,"WAH3",-4.025153032352,-4.14375147418569,-3.98571702888309,-4.1831874776546,0.197470448771512
"87",-4.08108565581073,0.0299594876909532,2005.896,1,"WAH3",-4.02116668042882,-4.14100463119263,-3.9813185191127,-4.18085279250875,0.199534273396053
"88",-4.0777191064673,0.0302842204851473,2006.232,1,"WAH3",-4.01715066549701,-4.1382875474376,-3.9768705874238,-4.17856762551081,0.201697038087017
"89",-4.07435260699351,0.0306233413411807,2006.568,1,"WAH3",-4.01310592431115,-4.13559928967587,-3.97237479237759,-4.17633042160943,0.203955629231835
"90",-4.07098615895008,0.0309763830210249,2006.904,1,"WAH3",-4.00903339290803,-4.13293892499213,-3.96783269146931,-4.17413962643084,0.206306934961523
"91",-4.06761976384141,0.0313428802341683,2007.24,1,"WAH3",-4.00493400337307,-4.13030552430975,-3.9632458356525,-4.17199369203032,0.208747856377823
"92",-4.06425342264531,0.031722371975694,2007.576,1,"WAH3",-4.00080867869393,-4.1276981665967,-3.95861576108275,-4.16989108420788,0.211275323125127
"93",-4.0608871360407,0.0321144028491685,2007.912,1,"WAH3",-3.99665833034236,-4.12511594173904,-3.95394398494015,-4.16783028714124,0.213886302201086
"94",-4.05752090462916,0.0325185242422383,2008.248,1,"WAH3",-3.99248385614468,-4.12255795311364,-3.94923200173603,-4.16580980752229,0.216577805786255
"95",-4.0541547283431,0.0329342961010468,2008.584,1,"WAH3",-3.98828613614101,-4.1200233205452,-3.94448127681214,-4.16382817987407,0.219346903061937
"96",-4.05078860675894,0.0333612877754234,2008.92,1,"WAH3",-3.98406603120809,-4.11751118230979,-3.9396932438393,-4.16188396967858,0.222190725839274
