"","fit","se.fit","Year","Seascapenr","Ship","DayNight","uprP","lwrP","uprS","lwrS","ci_width"
"183",-2.93328651951967,0.107564273589901,1987,5,"WAH3","D",-2.71815797233986,-3.14841506669947,-2.62127836373089,-3.24529467530844,0.624016311577544
"184",-2.93336259087397,0.107134553513214,1988,5,"WAH3","D",-2.71909348384754,-3.1476316979004,-2.62260090999883,-3.24412427174912,0.621523361750287
"185",-2.97460876215684,0.107705437294223,1989,5,"WAH3","D",-2.75919788756839,-3.19001963674528,-2.66219113744702,-3.28702638686665,0.624835249419634
"186",-3.04205698319896,0.108918002473707,1990,5,"WAH3","D",-2.82422097825155,-3.25989298814637,-2.72612211049594,-3.35799185590198,0.63186974540604
"187",-3.11763804175165,0.10943892541893,1991,5,"WAH3","D",-2.89876019091379,-3.33651589258951,-2.80019214496951,-3.43508393853379,0.634891793564278
"188",-3.184370989464,0.108885904814658,1992,5,"WAH3","D",-2.96659917983469,-3.40214279909332,-2.86852922138644,-3.50021275754157,0.631683536155129
"189",-3.22992226507387,0.108375893301831,1993,5,"WAH3","D",-3.01317047847021,-3.44667405167754,-2.91555987064183,-3.54428465950592,0.628724788864094
"190",-3.24873726039667,0.108953703792402,1994,5,"WAH3","D",-3.03082985281186,-3.46664466798147,-2.93269883005101,-3.56477569074233,0.63207686069132
"191",-3.24241683315631,0.110114931542636,1995,5,"WAH3","D",-3.02218697007104,-3.46264669624158,-2.92301006761245,-3.56182359870017,0.638813531087717
"192",-3.21850060710663,0.110568532700453,1996,5,"WAH3","D",-2.99736354170573,-3.43963767250754,-2.89777809558141,-3.53922311863185,0.64144502305044
"193",-3.18818153796641,0.109999363108227,1997,5,"WAH3","D",-2.96818281174996,-3.40818026418287,-2.86910999798476,-3.50725307794807,0.638143079963304
"194",-3.16362792239523,0.109318786418742,1998,5,"WAH3","D",-2.94499034955774,-3.38226549523271,-2.84653050886534,-3.48072533592511,0.634194827059768
"195",-3.15552732860129,0.109213774616991,1999,5,"WAH3","D",-2.93709977936731,-3.37395487783527,-2.83873451935596,-3.47232013784662,0.633585618490663
"196",-3.17125995458976,0.109165734723097,2000,5,"WAH3","D",-2.95292848514357,-3.38959142403596,-2.85460649308693,-3.48791341609259,0.633306923005667
"197",-3.21386014505715,0.108436995132968,2001,5,"WAH3","D",-2.99698615479121,-3.43073413532308,-2.89932051455022,-3.52839977556407,0.629079261013854
"198",-3.28172903828435,0.107502986786044,2002,5,"WAH3","D",-3.06672306471226,-3.49673501185644,-2.96989865511475,-3.59355942145395,0.6236607663392
"199",-3.36896942558541,0.107691169424368,2003,5,"WAH3","D",-3.15358708673667,-3.58435176443415,-3.0565931872171,-3.68134566395372,0.624752476736627
"200",-3.46621912986584,0.109327547248424,2004,5,"WAH3","D",-3.24756403536899,-3.68487422436268,-3.14909630408501,-3.78334195564666,0.634245651561643
"201",-3.56190892065335,0.111136182881128,2005,5,"WAH3","D",-3.33963655489109,-3.7841812864156,-3.23953984489175,-3.88427799641495,0.644738151523206
"202",-3.64389730875447,0.111954721580929,2006,5,"WAH3","D",-3.41998786559261,-3.86780675191633,-3.31915392466871,-3.96864069284023,0.649486768171525
"203",-3.70139004694969,0.1122606144516,2007,5,"WAH3","D",-3.47686881804649,-3.9259112758529,-3.37575936946007,-4.02702072443931,0.651261354979239
"204",-3.72693500233649,0.113322587976669,2008,5,"WAH3","D",-3.50028982638315,-3.95358017828983,-3.39822389311992,-4.05564611155307,0.657422218433148
"205",-3.71814107439376,0.115072313805883,2009,5,"WAH3","D",-3.487996446782,-3.94828570200553,-3.38435459292868,-4.05192755585884,0.667572962930162
"206",-3.67868115895835,0.115902264627793,2010,5,"WAH3","D",-3.44687662970277,-3.91048568821394,-3.34248726640131,-4.0148750515154,0.672387785114093
"207",-3.61817748953778,0.114962277639903,2011,5,"WAH3","D",-3.38825293425798,-3.84810204481759,-3.28471018636556,-3.95164479271,0.666934606344435
"208",-3.55076628655082,0.113762345127449,2012,5,"WAH3","D",-3.32324159629593,-3.77829097680572,-3.22077958820943,-3.88075298489221,0.65997339668278
"209",-3.49246851190116,0.114474235193216,2013,5,"WAH3","D",-3.26352004151473,-3.72141698228759,-3.16041685742581,-3.82452016637651,0.664103308950697
"210",-3.45786581439787,0.11656125752933,2014,5,"WAH3","D",-3.22474329933921,-3.69098832945653,-3.11976040277391,-3.79597122602184,0.676210823247935
"211",-3.45687424490802,0.116991505176217,2015,5,"WAH3","D",-3.22289123455559,-3.69085725526045,-3.11752082806487,-3.79622766175117,0.678706833686299
"212",-3.49251286056516,0.114970894973594,2016,5,"WAH3","D",-3.26257107061797,-3.72245465051234,-3.15902056137611,-3.8260051597542,0.666984598378092
"213",-3.56042445068817,0.116169512831344,2017,5,"WAH3","D",-3.32808542502548,-3.79276347635086,-3.22345536004402,-3.89739354133232,0.673938181288308
"214",-3.65054787114683,0.129918001368578,2018,5,"WAH3","D",-3.39071186840968,-3.91038387388399,-3.273698991329,-4.02739675096467,0.753697759635669
"215",-3.75087477154708,0.15864163469302,2019,5,"WAH3","D",-3.43359150216104,-4.06815804093312,-3.29070819188328,-4.21104135121087,0.920333159327589
"216",-3.60167351944846,0.217307394102193,1977,6,"WAH3","D",-3.16705873124407,-4.03628830765285,-2.97133709816057,-4.23200994073635,1.26067284257577
"217",-3.50133774289673,0.166943748237745,1978,6,"WAH3","D",-3.16745024642124,-3.83522523937222,-3.0170894951308,-3.98558599066265,0.968496495531848
"218",-3.41148707331695,0.132002094873762,1979,6,"WAH3","D",-3.14748288356943,-3.67549126306448,-3.02859293191419,-3.79438121471971,0.765788282805524
"219",-3.34262628910491,0.116632836676012,1980,6,"WAH3","D",-3.10936061575288,-3.57589196245693,-3.00431325020096,-3.68093932800886,0.676626077807907
"220",-3.30053728308359,0.113206851509643,1981,6,"WAH3","D",-3.0741235800643,-3.52695098610288,-2.97216188683591,-3.62891267933127,0.656750792495354
"221",-3.28296230322111,0.111437529033725,1982,6,"WAH3","D",-3.06008724515366,-3.50583736128856,-2.95971912257145,-3.60620548387078,0.646486361299332
"222",-3.27975376634529,0.108429838787207,1983,6,"WAH3","D",-3.06289408877087,-3.4966134439197,-2.96523489401548,-3.59427263867509,0.629037744659609
"223",-3.27602044400076,0.106280955586872,1984,6,"WAH3","D",-3.06345853282701,-3.4885823551745,-2.96773476659679,-3.58430612140473,0.616571354807939
"224",-3.25702059281533,0.10615666883252,1985,6,"WAH3","D",-3.04470725515029,-3.46933393048037,-2.9490954299179,-3.56494575571276,0.61585032579486
"225",-3.21310036547883,0.106622945402792,1986,6,"WAH3","D",-2.99985447467324,-3.42634625628441,-2.90382268944741,-3.52237804151024,0.618555352062835
"226",-3.14302738520301,0.106507340155571,1987,6,"WAH3","D",-2.93001270489187,-3.35604206551416,-2.83408504151552,-3.45196972889051,0.617884687374996
"227",-3.05462474351345,0.106671206024069,1988,6,"WAH3","D",-2.84128233146531,-3.26796715556159,-2.74520707948286,-3.36404240754403,0.618835328061169
"228",-2.96249913701514,0.108288260708668,1989,6,"WAH3","D",-2.7459226155978,-3.17907565843247,-2.64839093556806,-3.27660733846222,0.628216402894159
"229",-2.883596520848,0.110725361706627,1990,6,"WAH3","D",-2.66214579743474,-3.10504724426125,-2.56241910057513,-3.20477394112087,0.642354840545735
"230",-2.83201087529157,0.112404649851922,1991,6,"WAH3","D",-2.60720157558773,-3.05682017499542,-2.50596239904664,-3.15805935153651,0.652096952489876
"231",-2.81469917125716,0.113100516000235,1992,6,"WAH3","D",-2.58849813925669,-3.04090020325763,-2.48663221892936,-3.14276612358496,0.656133904655592
"232",-2.82945238357991,0.114175939220252,1993,6,"WAH3","D",-2.60110050513941,-3.05780426202041,-2.49826598643674,-3.16063878072308,0.662372794286344
"233",-2.86574310715428,0.116446104585532,1994,6,"WAH3","D",-2.63285089798322,-3.09863531632535,-2.52797171589255,-3.20351449841601,0.675542782523463
"234",-2.90815381991669,0.118748767249724,1995,6,"WAH3","D",-2.67065628541725,-3.14565135441614,-2.56370317068872,-3.25260446914466,0.688901298455941
"235",-2.94127990570939,0.119386415452003,1996,6,"WAH3","D",-2.70250707480538,-3.18005273661339,-2.59497965128263,-3.28758016013614,0.692600508853508
"236",-2.95455187064932,0.118328283336474,1997,6,"WAH3","D",-2.71789530397637,-3.19120843732227,-2.61132090529903,-3.29778283599961,0.686461930700582
"237",-2.94546565178221,0.117270135168184,1998,6,"WAH3","D",-2.71092538144584,-3.18000592211858,-2.6053040220721,-3.28562728149232,0.680323259420224
"238",-2.92022369941172,0.117493405617601,1999,6,"WAH3","D",-2.68523688817651,-3.15521051064692,-2.5794144364416,-3.26103296238183,0.68161852594023
"239",-2.8916019699724,0.11832247143271,2000,6,"WAH3","D",-2.65495702710698,-3.12824691283782,-2.54838786302048,-3.23481607692432,0.686428213903834
"240",-2.87471123689865,0.11835598081604,2001,6,"WAH3","D",-2.63799927526657,-3.11142319853073,-2.53139993037902,-3.21802254341828,0.686622613039262
"241",-2.88195376751021,0.117535825321808,2002,6,"WAH3","D",-2.64688211686659,-3.11702541815382,-2.54102145909724,-3.22288607592317,0.681864616825928
"242",-2.91870426512962,0.11710509418733,2003,6,"WAH3","D",-2.68449407675496,-3.15291445350428,-2.57902136437242,-3.25838716588683,0.679365801514414
"243",-2.98101285171373,0.1176174416737,2004,6,"WAH3","D",-2.74577796836633,-3.21624773506114,-2.63984380142927,-3.3221819019982,0.682338100568929
"244",-3.05602312670371,0.117967832482558,2005,6,"WAH3","D",-2.82008746173859,-3.29195879166882,-2.71383770930748,-3.39820854409993,0.684370834792444
"245",-3.1250111248826,0.117008964702645,2006,6,"WAH3","D",-2.89099319547731,-3.35902905428789,-2.78560706376454,-3.46441518600065,0.678808122236111
"246",-3.16821471147109,0.115373576741618,2007,6,"WAH3","D",-2.93746755798785,-3.39896186495433,-2.83355436650236,-3.50287505643982,0.669320689937455
"247",-3.17014191803065,0.114805565152867,2008,6,"WAH3","D",-2.94053078772492,-3.39975304833638,-2.83712918562284,-3.50315465043846,0.666025464815613
"248",-3.1239395610497,0.115690784372461,2009,6,"WAH3","D",-2.89255799230478,-3.35532112979462,-2.78835910232389,-3.45952001977552,0.67116091745163
