"","fit","se.fit","Year","Seascapenr","Ship","uprP","lwrP","uprS","lwrS","ci_width"
"647",-3.79581916905955,0.0549976641222956,1982.376,6,"WAH3",-3.68582384081496,-3.90581449730414,-3.61502647239515,-3.97661186572395,0.361585393328808
"648",-3.78332603252423,0.0536150199171258,1982.712,6,"WAH3",-3.67609599268997,-3.89055607235848,-3.60707847388285,-3.9595735911656,0.352495117282749
"649",-3.77075969767345,0.0524588713139988,1983.048,6,"WAH3",-3.66584195504546,-3.87567744030145,-3.59831272269395,-3.94320667265296,0.344893949959013
"650",-3.75810794928978,0.0515182166317824,1983.384,6,"WAH3",-3.65507151602621,-3.86114438255334,-3.5887531692124,-3.92746272936716,0.338709560154757
"651",-3.74536198631914,0.0507808055325512,1983.72,6,"WAH3",-3.64380037525404,-3.84692359738425,-3.57843128266952,-3.91229268996877,0.333861407299254
"652",-3.73251356921928,0.0502297435615687,1984.056,6,"WAH3",-3.63205408209615,-3.83297305634242,-3.56739436031863,-3.89763277811994,0.330238417801314
"653",-3.71955726503665,0.0498443192734041,1984.392,6,"WAH3",-3.61986862648984,-3.81924590358346,-3.55570505351723,-3.88340947655607,0.327704423038836
"654",-3.70649452068559,0.0496031917430079,1984.728,6,"WAH3",-3.60728813719957,-3.8057009041716,-3.54343496276621,-3.86955407860496,0.326119115838755
"655",-3.69332783430045,0.0494827960180057,1985.064,6,"WAH3",-3.59436224226444,-3.79229342633646,-3.530664050786,-3.85599161781491,0.325327567028913
"656",-3.68006362843181,0.0494600824211088,1985.4,6,"WAH3",-3.58114346358959,-3.77898379327402,-3.51747451085998,-3.84265274600364,0.325178235143661
"657",-3.66671731892445,0.0495168111703297,1985.736,6,"WAH3",-3.56768369658379,-3.76575094126511,-3.5039417180953,-3.82949291975359,0.325551201658284
"658",-3.65330559981272,0.0496366872782414,1986.072,6,"WAH3",-3.55403222525624,-3.75257897436921,-3.4901359327053,-3.81647526692015,0.326339334214852
"659",-3.63984937814071,0.0498074468012721,1986.408,6,"WAH3",-3.54023448453816,-3.73946427174325,-3.47611837674495,-3.80358037953646,0.32746200279151
